material,id,measure_1,measure_2,measure_3,measure_4,measure_5
Bronze,4,99.3,106.1,101.8,97.4,99
Bronze,6,109.6,108.7,97.9,110,97.4
Bronze,11,100.4,102,104.1,98.8,117.9
Bronze,15,111.7,101,88.3,107.7,89.9
Bronze,0,105.9,106.8,113.8,119.1,96.4
Copper,4,45.7,59.2,54.5,37.3,34.5
Copper,11,40.9,56.8,39.7,56,47.8
Copper,9,38.4,33.3,28.7,33.4,34.9
Copper,7,52.4,42.1,45.9,48.4,48.6
Copper,12,52.5,46.9,44.6,54.9,57.4
Bronze,7,107.2,102.5,111.8,113.8,94.5
Bronze,14,106.7,109.3,101.7,100.7,94
Bronze,16,106.7,109.4,102.9,110.4,106.5
Bronze,18,102.2,116.9,121,107.9,119.8
Bronze,19,102.5,102.7,112.5,97.3,93.4